GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
agence-voyages,fr.eftl.agence.voyages.prix,CalculPrixBillet,19,40,1,3,8,10,6,5,5,3
agence-voyages,fr.eftl.agence.voyages.prix,CalculPrixUnitaire,28,0,0,0,13,0,7,0,7,0
